SEMUA KATA BERDASARKAN SKOR TF-IDF
==================================================

Total kata unik: 1000

  1. gelap                : 26.4788
  2. indonesia            : 26.2786
  3. demo                 : 24.9118
  4. mahasiswa            : 22.7058
  5. rakyat               : 17.3453
  6. prabowo              : 16.7501
  7. mahasewa             : 16.5592
  8. ampas                : 14.8740
  9. negara               : 14.3404
 10. aset                 : 14.1836
 11. jadi                 : 13.6882
 12. mau                  : 11.7767
 13. semua                : 10.6776
 14. presiden             : 10.0517
 15. sama                 : 9.0727
 16. udah                 : 9.0655
 17. gin                  : 8.8451
 18. takut                : 8.4717
 19. dulu                 : 7.9972
 20. perintah             : 7.5143
 21. milih                : 7.3357
 22. hidup                : 7.2600
 23. buat                 : 7.0984
 24. pak                  : 6.6769
 25. kerja                : 6.4297
 26. makan                : 6.4128
 27. makin                : 6.1810
 28. ruu                  : 6.0556
 29. tuntut               : 5.9993
 30. banyak               : 5.9690
 31. semangat             : 5.9309
 32. masa                 : 5.9061
 33. salah                : 5.8455
 34. kalo                 : 5.8043
 35. bayar                : 5.7681
 36. jabat                : 5.7664
 37. komen                : 5.6689
 38. gas                  : 5.6354
 39. tuju                 : 5.5306
 40. hama                 : 5.4609
 41. buzzer               : 5.3973
 42. sekarang             : 5.3665
 43. pilih                : 5.1099
 44. jokowi               : 5.1040
 45. pindah               : 5.0555
 46. gua                  : 5.0057
 47. maju                 : 4.9323
 48. bang                 : 4.9116
 49. liat                 : 4.8927
 50. terus                : 4.8541
 51. koruptor             : 4.8445
 52. orang                : 4.7478
 53. gratis               : 4.5575
 54. kaya                 : 4.5271
 55. punya                : 4.5240
 56. anak                 : 4.4844
 57. suruh                : 4.4482
 58. hancur               : 4.4462
 59. tau                  : 4.3852
 60. tuh                  : 4.3619
 61. kata                 : 4.2232
 62. baik                 : 4.1347
 63. bener                : 4.1226
 64. indo                 : 4.0587
 65. terang               : 4.0047
 66. biar                 : 3.9897
 67. pas                  : 3.9576
 68. allah                : 3.9339
 69. bro                  : 3.9051
 70. akun                 : 3.8407
 71. aksi                 : 3.7949
 72. sehat                : 3.7904
 73. ujung                : 3.7876
 74. uang                 : 3.6757
 75. korupsi              : 3.6672
 76. ganti                : 3.6090
 77. sendiri              : 3.6007
 78. udh                  : 3.5538
 79. lihat                : 3.5438
 80. juang                : 3.5419
 81. duit                 : 3.5278
 82. negeri               : 3.5255
 83. tinggal              : 3.5122
 84. era                  : 3.5016
 85. penting              : 3.4747
 86. kek                  : 3.4457
 87. mungkin              : 3.4448
 88. dpr                  : 3.4028
 89. suara                : 3.3380
 90. coba                 : 3.3303
 91. mending              : 3.3152
 92. wkwk                 : 3.2914
 93. susah                : 3.2869
 94. malah                : 3.2827
 95. padahal              : 3.2691
 96. bilang               : 3.2480
 97. pdip                 : 3.2350
 98. soal                 : 3.1422
 99. gerindra             : 3.1092
100. bakal                : 3.0725
101. tahun                : 3.0645
102. bijak                : 3.0598
103. dukung               : 3.0457
104. pernah               : 3.0413
105. moga                 : 3.0279
106. kali                 : 2.9125
107. beli                 : 2.8884
108. masyarakat           : 2.8767
109. anj                  : 2.8709
110. lawan                : 2.8700
111. pangkas              : 2.8629
112. turun                : 2.7750
113. adil                 : 2.7731
114. didik                : 2.7703
115. bikin                : 2.7625
116. yakin                : 2.7551
117. politik              : 2.7510
118. min                  : 2.7412
119. ayo                  : 2.7344
120. satu                 : 2.7259
121. abah                 : 2.7174
122. langsung             : 2.7118
